iso_code,country_name
4004,Afghanistan
4008,Albania
4010,Antarctica
4012,Algeria
4016,American Samoa
4020,Andorra
4024,Angola
4028,Antigua and Barbuda
4031,Azerbaijan
4032,Argentina
4036,Australia
4040,Austria
4044,Bahamas
4048,Bahrain
4050,Bangladesh
4051,Armenia
4052,Barbados
4056,Belgium
4060,Bermuda
4064,Bhutan
4068,Bolivia (Plurinational State of)
4070,Bosnia and Herzegovina
4072,Botswana
4076,Brazil
4084,Belize
4090,Solomon Islands
4092,Virgin Islands (British)
4096,Brunei Darussalam
4100,Bulgaria
4104,Myanmar
4108,Burundi
4112,Belarus
4116,Cambodia
4120,Cameroon
4124,Canada
4132,Cabo Verde
4136,Cayman Islands
4140,Central African Republic
4144,Sri Lanka
4148,Chad
4152,Chile
4156,China
4158,"Taiwan, Province of China"
4170,Colombia
4174,Comoros
4178,Congo
4180,"Congo, Democratic Republic of the"
4184,Cook Islands
4188,Costa Rica
4191,Croatia
4192,Cuba
4196,Cyprus
4203,Czechia
4204,Benin
4208,Denmark
4212,Dominica
4214,Dominican Republic
4218,Ecuador
4222,El Salvador
4226,Equatorial Guinea
4231,Ethiopia
4232,Eritrea
4233,Estonia
4234,Faroe Islands
4238,Falkland Islands (Malvinas)
4242,Fiji
4246,Finland
4250,France
4258,French Polynesia
4262,Djibouti
4266,Gabon
4268,Georgia
4270,Gambia
4275,"Palestine, State of"
4276,Germany
4288,Ghana
4292,Gibraltar
4296,Kiribati
4300,Greece
4304,Greenland
4308,Grenada
4316,Guam
4320,Guatemala
4324,Guinea
4328,Guyana
4332,Haiti
4340,Honduras
4344,Hong Kong
4348,Hungary
4352,Iceland
4356,India
4360,Indonesia
4364,Iran (Islamic Republic of)
4368,Iraq
4372,Ireland
4376,Israel
4380,Italy
4384,C�te d'Ivoire (Ivory Coast)
4388,Jamaica
4392,Japan
4398,Kazakhstan
4400,Jordan
4404,Kenya
4408,Korea (Democratic People's Republic of)
4410,"Korea, Republic of"
4414,Kuwait
4417,Kyrgyzstan
4418,Lao People's Democratic Republic
4422,Lebanon
4426,Lesotho
4428,Latvia
4430,Liberia
4434,Libya
4438,Liechtenstein
4440,Lithuania
4442,Luxembourg
4446,Macao
4450,Madagascar
4454,Malawi
4458,Malaysia
4462,Maldives
4466,Mali
4470,Malta
4478,Mauritania
4480,Mauritius
4484,Mexico
4492,Monaco
4496,Mongolia
4498,"Moldova, Republic of"
4499,Montenegro
4500,Montserrat
4504,Morocco
4508,Mozambique
4512,Oman
4516,Namibia
4520,Nauru
4524,Nepal
4528,Netherlands
4533,Aruba
4548,Vanuatu
4554,New Zealand
4558,Nicaragua
4562,Niger
4566,Nigeria
4578,Norway
4583,Micronesia (Federated States of)
4584,Marshall Islands
4585,Palau
4586,Pakistan
4591,Panama
4598,Papua New Guinea
4600,Paraguay
4604,Peru
4608,Philippines
4616,Poland
4620,Portugal
4624,Guinea-Bissau
4626,Timor-Leste
4630,Puerto Rico
4634,Qatar
4638,R�union
4642,Romania
4643,Russian Federation
4646,Rwanda
4659,Saint Kitts and Nevis
4660,Anguilla
4662,Saint Lucia
4670,Saint Vincent and the Grenadines
4674,San Marino
4678,Sao Tome and Principe
4682,Saudi Arabia
4686,Senegal
4688,Serbia
4690,Seychelles
4694,Sierra Leone
4702,Singapore
4703,Slovakia
4704,Viet Nam
4705,Slovenia
4706,Somalia
4710,South Africa
4716,Zimbabwe
4724,Spain
4728,South Sudan
4729,Sudan
4732,Western Sahara
4740,Suriname
4748,Eswatini
4752,Sweden
4756,Switzerland
4760,Syrian Arab Republic
4762,Tajikistan
4764,Thailand
4768,Togo
4776,Tonga
4780,Trinidad and Tobago
4784,United Arab Emirates
4788,Tunisia
4792,Turkey
4795,Turkmenistan
4796,Turks and Caicos Islands
4798,Tuvalu
4800,Uganda
4804,Ukraine
4807,North Macedonia
4818,Egypt
4826,United Kingdom of Great Britain and Northern Ireland
4833,Isle of Man
4834,"Tanzania, United Republic of"
4840,United States of America
4850,Virgin Islands (U.S.)
4854,Burkina Faso
4858,Uruguay
4860,Uzbekistan
4862,Venezuela (Bolivarian Republic of)
4882,Samoa
4887,Yemen
4894,Zambia
