value,title,parentvalue
91,Afaas Mart ( file_1),2
92,Afaas Mart ( file_2),2
2301,Agora ( file_1),1
2302,Agora ( file_2),1
121,Binma ( file_1),1
122,Binma ( file_2),1
151,Choice mart ( file_1),1
152,Choice mart ( file_2),1
201,Day night mart ( file_1),2
202,Day night mart ( file_2),2
211,Eureka Five Eleven ( file_1),1
212,Eureka Five Eleven ( file_2),1
61,Fantastic ( file_1),1
62,Fantastic ( file_2),1
141,Goanbili ( file_1),1
142,Goanbili ( file_2),1
101,Haitheri mart ( file_1),2
102,Haitheri mart ( file_2),2
191,Hazash Mart ( file_1),2
192,Hazash Mart ( file_2),2
161,Ihusaan  ( file_1),1
162,Ihusaan  ( file_2),1
11,JJ Mart ( file_1),1
12,JJ Mart ( file_2),1
41,MHA Mart ( file_1),1
42,MHA Mart ( file_2),1
181,Nide Mart ( file_1),1
182,Nide Mart ( file_2),1
241,Olive Tree ( file_1),2
242,Olive Tree ( file_2),2
131,On The Way ( file_1),1
132,On The Way ( file_2),1
221,Red Wave Mega Mall ( file_1),2
222,Red Wave Mega Mall ( file_2),2
21,Red wave Plaza ( file_1),1
22,Red wave Plaza ( file_2),1
51,STO ( file_1),1
52,STO ( file_2),1
81,Shop And Save ( file_1),2
82,Shop And Save ( file_2),2
231,Sifco ( file_1),1
232,Sifco ( file_2),1
31,Sosun Plaza ( file_1),2
32,Sosun Plaza ( file_2),2
71,VB Mart Maafanu ( file_1),2
72,VB Mart Maafanu ( file_2),2
111,Villa Mart ( file_1),2
112,Villa Mart ( file_2),2
2311,Yelee Mart ( file_1),2
2312,Yelee Mart ( file_2),2
2321,SJ Mall ( file_1),2
2322,SJ Mall ( file_2),2
51,Chaandhaliya Bookshop,1
52,Round one bookshop,1
55,Million Bookshop,1
54,Raadha Bookshop,1
27,Hudhuma,1
30,Jilbaab,1
321,ADG textiles,1
29,Kailaan,1
311,Khalhirava,1
811,Personal Computers,1
822,Pro Lap,1
34,Trappers,1
210,Rehendhi,1
211,Cllova,1
89,Index furniture,1
38,Island kids,1
39,Items,1
42,Ofudhaaru,1
44,U tailors,1
48,Eve garment,1
49,Look nice ,1
104,AH Brothers,1
106,Steel Hardware,1
115,STO Home Improvement ,1
119,Market ameeneemagu,1
121,Enzi,1
122,Mifco Mas Fihaara,1
